trial,0_angle distance,11_angle distance,12_angle distance,13_angle distance,15_angle distance,14_angle distance,16_angle distance,23_angle distance,24_angle distance,25_angle distance,26_angle distance,27_angle distance,28_angle distance
313,99.52,98.29,98.1,93.73,99.71,97.41,95.03,88.95,98.91,96.79,94.69,99.6,99.08
314,97.3,95.7,96.18,97.18,93.34,85.98,94.16,87.19,89.02,99.24,98.72,99.98,99.58
315,97.69,99.26,97.58,89.46,96.81,95.92,97.44,90.34,98.22,99.59,92.98,99.72,99.34
316,99.58,98.77,99.51,95.31,97.29,97.73,94.86,87.7,93.46,87.38,92.49,98.62,97.8
317,99.53,99.0,99.04,96.04,99.04,95.15,92.82,84.75,85.7,79.46,83.5,99.75,96.42
318,93.06,98.18,95.01,95.06,98.82,89.23,92.9,90.42,97.75,96.18,98.65,96.22,99.06
319,96.03,95.84,81.92,85.83,95.72,74.59,94.21,98.75,97.43,96.39,95.1,98.81,98.4
320,95.48,95.01,94.01,97.28,96.63,67.35,98.68,69.8,73.75,75.14,76.54,97.99,99.44
321,97.21,99.55,94.11,99.78,99.54,96.23,99.77,86.42,92.78,83.31,88.75,98.78,96.18
322,96.54,95.72,98.46,93.59,99.04,93.85,93.43,80.4,82.4,92.46,92.12,98.61,99.32
323,95.69,94.41,95.37,96.51,99.64,98.06,94.38,91.54,88.2,84.54,72.89,99.66,93.31
324,97.97,95.12,98.72,97.22,95.62,99.4,96.15,96.77,96.65,88.89,84.74,99.9,98.27
325,95.84,97.46,95.85,92.59,93.55,78.36,69.02,76.02,81.51,76.14,86.04,99.49,98.28
326,94.44,90.65,81.97,74.8,91.21,87.19,94.03,88.04,79.52,82.95,80.23,95.76,97.41
327,99.43,96.03,98.3,99.06,98.25,96.52,98.02,99.26,95.49,96.47,96.37,99.19,97.51
328,93.08,95.87,96.48,94.22,57.29,69.2,93.6,96.57,85.25,94.03,80.59,99.0,98.36
