trial,0_angle distance,11_angle distance,12_angle distance,13_angle distance,15_angle distance,14_angle distance,16_angle distance,23_angle distance,24_angle distance,25_angle distance,26_angle distance,27_angle distance,28_angle distance
313,0.87,3.08,3.42,11.29,0.52,4.66,8.95,19.9,1.97,5.78,9.55,0.71,1.66
314,4.87,7.73,6.87,5.08,11.99,25.24,10.51,23.05,19.76,1.37,2.31,0.03,0.75
315,4.16,1.32,4.36,18.97,5.74,7.34,4.61,17.39,3.21,0.73,12.64,0.51,1.18
316,0.75,2.22,0.89,8.45,4.88,4.09,9.25,22.14,11.78,22.72,13.53,2.48,3.96
317,0.85,1.8,1.72,7.12,1.72,8.72,12.92,27.46,25.74,36.97,29.7,0.46,6.45
318,12.5,3.27,8.98,8.9,2.13,19.38,12.77,17.25,4.05,6.88,2.43,6.8,1.68
319,7.14,7.5,32.55,25.5,7.71,45.73,10.42,2.25,4.62,6.51,8.81,2.14,2.88
320,8.14,8.99,10.79,4.89,6.06,58.77,2.38,54.36,47.26,44.75,42.23,3.62,1.0
321,5.02,0.81,10.61,0.39,0.82,6.79,0.42,24.45,13.0,30.04,20.25,2.2,6.87
322,6.23,7.7,2.77,11.54,1.72,11.07,11.83,35.29,31.69,13.57,14.18,2.5,1.22
323,7.75,10.07,8.34,6.29,0.66,3.5,10.11,15.24,21.23,27.83,48.81,0.61,12.04
324,3.65,8.78,2.31,5.01,7.89,1.09,6.92,5.82,6.02,19.99,27.47,0.19,3.12
325,7.49,4.57,7.48,13.34,11.62,38.95,55.77,43.16,33.28,42.94,25.12,0.92,3.1
326,10.01,16.84,32.46,45.37,15.82,23.05,10.74,21.53,36.86,30.68,35.59,7.62,4.66
327,1.03,7.14,3.06,1.69,3.16,6.26,3.57,1.34,8.13,6.36,6.53,1.45,4.48
328,12.46,7.43,6.33,10.4,76.88,55.45,11.52,6.18,26.54,10.74,34.94,1.81,2.94
